|||Sütunlar||||||||||||
||2019|4.0|7.0|9.0|5.0|2.0|1.0|1.0|1.0|1.0|3.0|2.0|2.0|
||2020|3.0|6.0|8.0|5.0|4.0|4.0|5.0|3.0|2.0|2.0|2.0||
|1. (15+) ve 1. (Okuma Yazma Bilmeyen) ve 6. (Kendi İşini Kurmak İstiyor)|2014|1.0|1.0|-9.93E8|4.0|4.0|4.0|1.0|2.0|3.0|3.0|4.0|4.0|
||2015|5.0|3.0|2.0|0.0|-9.93E8|-9.93E8|1.0|1.0|1.0|-9.93E8|1.0|2.0|
||2016|4.0|2.0|2.0|1.0|1.0|1.0|1.0|2.0|2.0|1.0|1.0|1.0|
||2017|1.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|2.0|2.0|2.0|-9.93E8|-9.93E8|0.0|
||2018|0.0|0.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|0.0|0.0|1.0|1.0|1.0|
||2019|0.0|1.0|2.0|4.0|3.0|2.0|0.0|1.0|1.0|2.0|1.0|1.0|
||2020|2.0|2.0|2.0|-9.93E8|-9.93E8|1.0|1.0|2.0|1.0|0.0|0.0||
|1. (15+) ve 1. (Okuma Yazma Bilmeyen) ve 7. (İş Bulmuş, Başlamak İçin Bekliyor)|2014|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|1.0|1.0|1.0|2.0|
||2015|2.0|1.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|1.0|-9.93E8|1.0|
||2016|1.0|1.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|0.0|0.0|0.0|-9.93E8|-9.93E8|-9.93E8|
||2017|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2018|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2019|-9.93E8|-9.93E8|-9.93E8|-9.93E8|0.0|0.0|0.0|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|
||2020|1.0|1.0|1.0|-9.93E8|-9.93E8|0.0|0.0|0.0|-9.93E8|-9.93E8|-9.93E8||
|1. (15+) ve 21. (Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen) ve 1. (Tam Zamanlı)|2014|127.0|127.0|122.0|115.0|96.0|97.0|93.0|91.0|105.0|105.0|125.0|107.0|
||2015|119.0|113.0|117.0|103.0|99.0|104.0|98.0|101.0|110.0|112.0|119.0|114.0|
||2016|124.0|110.0|114.0|106.0|108.0|108.0|109.0|113.0|97.0|114.0|123.0|136.0|
||2017|124.0|111.0|114.0|106.0|111.0|100.0|117.0|113.0|98.0|99.0|116.0|139.0|
||2018|144.0|134.0|114.0|106.0|98.0|104.0|105.0|102.0|108.0|115.0|130.0|144.0|
||2019|164.0|164.0|160.0|143.0|138.0|129.0|125.0|131.0|140.0|138.0|122.0|122.0|
||2020|130.0|146.0|151.0|131.0|118.0|105.0|113.0|111.0|96.0|96.0|109.0||
|1. (15+) ve 21. (Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen) ve 2. (Tam Zamanlı, Ancak Bulamazsa Yarı Zamanlı Olabilir)|2014|9.0|12.0|8.0|9.0|10.0|12.0|9.0|4.0|3.0|4.0|5.0|5.0|
||2015|4.0|4.0|4.0|4.0|7.0|5.0|5.0|4.0|5.0|4.0|7.0|9.0|
||2016|12.0|8.0|6.0|4.0|4.0|6.0|9.0|10.0|10.0|7.0|6.0|7.0|
||2017|7.0|8.0|6.0|5.0|7.0|7.0|7.0|4.0|4.0|4.0|3.0|3.0|
||2018|2.0|2.0|2.0|3.0|2.0|3.0|4.0|4.0|4.0|4.0|5.0|4.0|
||2019|3.0|4.0|5.0|6.0|3.0|5.0|3.0|6.0|7.0|8.0|6.0|4.0|
||2020|5.0|4.0|4.0|3.0|3.0|7.0|8.0|8.0|4.0|5.0|4.0||
|1. (15+) ve 21. (Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen) ve 3. (Yarı Zamanlı)|2014|1.0|2.0|2.0|2.0|1.0|1.0|1.0|1.0|-9.93E8|-9.93E8|0.0|0.0|
||2015|1.0|1.0|1.0|1.0|1.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|2.0|4.0|5.0|
||2016|5.0|3.0|2.0|1.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|1.0|2.0|2.0|1.0|
||2017|0.0|1.0|0.0|0.0|-9.93E8|-9.93E8|0.0|0.0|2.0|1.0|1.0|-9.93E8|
||2018|2.0|2.0|3.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|
||2019|4.0|4.0|4.0|3.0|3.0|5.0|3.0|5.0|5.0|8.0|5.0|3.0|
||2020|-9.93E8|1.0|2.0|3.0|3.0|1.0|1.0|1.0|2.0|2.0|4.0||
|1. (15+) ve 21. (Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen) ve 4. (Yarı Zamanlı, Ancak Bulamazsa Tam Zamanlı Olabilir)|2014|-9.93E8|1.0|1.0|1.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2015|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2016|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|1.0|-9.93E8|1.0|1.0|1.0|0.0|-9.93E8|
||2017|-9.93E8|-9.93E8|-9.93E8|0.0|0.0|0.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2018|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2019|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2020|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8||
|1. (15+) ve 21. (Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen) ve 5. (Tam Zamanlı Veya Yarı Zamanlı Farketmez)|2014|6.0|7.0|9.0|8.0|7.0|5.0|3.0|3.0|5.0|4.0|5.0|4.0|
||2015|5.0|4.0|3.0|3.0|3.0|4.0|4.0|5.0|6.0|5.0|5.0|3.0|
||2016|2.0|5.0|5.0|5.0|2.0|2.0|2.0|2.0|2.0|2.0|1.0|1.0|
||2017|1.0|3.0|4.0|4.0|5.0|3.0|3.0|0.0|1.0|3.0|4.0|3.0|
||2018|6.0|5.0|5.0|2.0|2.0|4.0|5.0|7.0|4.0|3.0|2.0|3.0|
||2019|3.0|4.0|3.0|3.0|2.0|4.0|6.0|5.0|2.0|2.0|1.0|2.0|
||2020|2.0|5.0|6.0|8.0|9.0|10.0|9.0|8.0|3.0|4.0|3.0||
|1. (15+) ve 21. (Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen) ve 6. (Kendi İşini Kurmak İstiyor)|2014|4.0|2.0|2.0|1.0|2.0|3.0|2.0|2.0|2.0|3.0|3.0|4.0|
||2015|3.0|3.0|2.0|2.0|3.0|3.0|2.0|3.0|6.0|8.0|5.0|3.0|
||2016|0.0|2.0|2.0|1.0|-9.93E8|1.0|1.0|1.0|0.0|1.0|1.0|2.0|
||2017|2.0|2.0|2.0|1.0|2.0|3.0|3.0|2.0|1.0|0.0|1.0|1.0|
||2018|1.0|0.0|-9.93E8|1.0|1.0|1.0|1.0|2.0|5.0|7.0|7.0|5.0|
||2019|6.0|9.0|9.0|8.0|4.0|5.0|5.0|7.0|5.0|3.0|1.0|3.0|
||2020|4.0|4.0|2.0|1.0|0.0|1.0|2.0|2.0|3.0|5.0|7.0||
|1. (15+) ve 21. (Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen) ve 7. (İş Bulmuş, Başlamak İçin Bekliyor)|2014|1.0|0.0|1.0|1.0|1.0|-9.93E8|1.0|1.0|1.0|2.0|2.0|3.0|
||2015|3.0|2.0|2.0|1.0|1.0|1.0|-9.93E8|1.0|3.0|3.0|2.0|-9.93E8|
||2016|1.0|0.0|3.0|4.0|4.0|2.0|0.0|2.0|2.0|1.0|-9.93E8|-9.93E8|
||2017|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|1.0|1.0|0.0|0.0|-9.93E8|
||2018|1.0|2.0|3.0|3.0|3.0|2.0|1.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2019|2.0|2.0|2.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|2.0|2.0|2.0|
||2020|1.0|1.0|2.0|1.0|0.0|-9.93E8|-9.93E8|1.0|2.0|2.0|2.0||
|1. (15+) ve 22. (İlkokul) ve 1. (Tam Zamanlı)|2014|683.0|676.0|634.0|573.0|544.0|550.0|592.0|626.0|641.0|627.0|639.0|687.0|
||2015|725.0|740.0|706.0|673.0|623.0|609.0|599.0|623.0|643.0|678.0|699.0|730.0|
||2016|770.0|747.0|696.0|612.0|581.0|614.0|637.0|704.0|728.0|758.0|745.0|775.0|
||2017|815.0|829.0|757.0|637.0|605.0|554.0|608.0|586.0|615.0|591.0|593.0|618.0|
||2018|676.0|669.0|642.0|609.0|625.0|624.0|645.0|662.0|716.0|771.0|845.0|927.0|
||2019|987.0|984.0|939.0|828.0|790.0|754.0|824.0|844.0|860.0|833.0|856.0|902.0|
||2020|888.0|820.0|733.0|696.0|715.0|732.0|723.0|658.0|623.0|634.0|627.0||
|1. (15+) ve 22. (İlkokul) ve 2. (Tam Zamanlı, Ancak Bulamazsa Yarı Zamanlı Olabilir)|2014|54.0|52.0|41.0|42.0|37.0|43.0|35.0|36.0|44.0|48.0|57.0|58.0|
||2015|63.0|59.0|44.0|29.0|24.0|27.0|31.0|27.0|27.0|27.0|35.0|43.0|
||2016|47.0|42.0|35.0|33.0|37.0|37.0|34.0|28.0|30.0|35.0|42.0|51.0|
||2017|59.0|56.0|54.0|45.0|46.0|40.0|34.0|28.0|30.0|49.0|50.0|44.0|
||2018|38.0|34.0|36.0|25.0|31.0|28.0|30.0|29.0|30.0|29.0|30.0|35.0|
||2019|40.0|37.0|31.0|24.0|22.0|29.0|46.0|55.0|53.0|44.0|45.0|39.0|
||2020|32.0|21.0|25.0|30.0|39.0|40.0|36.0|34.0|30.0|29.0|27.0||
|1. (15+) ve 22. (İlkokul) ve 3. (Yarı Zamanlı)|2014|8.0|11.0|14.0|9.0|10.0|6.0|9.0|8.0|11.0|12.0|15.0|14.0|
||2015|13.0|11.0|9.0|6.0|5.0|7.0|8.0|15.0|14.0|15.0|9.0|13.0|
||2016|14.0|13.0|12.0|8.0|8.0|6.0|6.0|8.0|7.0|9.0|14.0|15.0|
||2017|17.0|15.0|17.0|15.0|15.0|16.0|16.0|19.0|15.0|20.0|19.0|19.0|
||2018|9.0|8.0|6.0|7.0|3.0|6.0|10.0|13.0|11.0|13.0|14.0|14.0|
||2019|9.0|7.0|7.0|12.0|13.0|12.0|10.0|9.0|13.0|14.0|12.0|8.0|
||2020|4.0|8.0|8.0|8.0|6.0|7.0|8.0|10.0|9.0|9.0|8.0||
|1. (15+) ve 22. (İlkokul) ve 4. (Yarı Zamanlı, Ancak Bulamazsa Tam Zamanlı Olabilir)|2014|-9.93E8|0.0|0.0|0.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|0.0|1.0|1.0|
||2015|0.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|1.0|0.0|
||2016|0.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|0.0|0.0|0.0|-9.93E8|1.0|1.0|1.0|
||2017|2.0|2.0|4.0|3.0|2.0|1.0|2.0|2.0|2.0|0.0|1.0|3.0|
||2018|2.0|4.0|2.0|2.0|1.0|1.0|1.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2019|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|-9.93E8|-9.93E8|-9.93E8|
||2020|-9.93E8|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|1.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8||
|1. (15+) ve 22. (İlkokul) ve 5. (Tam Zamanlı Veya Yarı Zamanlı Farketmez)|2014|29.0|32.0|37.0|26.0|24.0|18.0|17.0|15.0|18.0|23.0|26.0|26.0|
||2015|29.0|28.0|23.0|16.0|15.0|18.0|21.0|18.0|19.0|15.0|21.0|21.0|
||2016|24.0|24.0|19.0|16.0|11.0|18.0|12.0|12.0|4.0|7.0|11.0|14.0|
||2017|13.0|10.0|9.0|8.0|7.0|8.0|8.0|7.0|10.0|12.0|18.0|15.0|
||2018|16.0|16.0|19.0|16.0|19.0|18.0|19.0|18.0|16.0|19.0|17.0|24.0|
||2019|28.0|31.0|25.0|18.0|16.0|14.0|18.0|16.0|17.0|13.0|12.0|21.0|
||2020|27.0|36.0|38.0|45.0|44.0|44.0|43.0|37.0|39.0|39.0|44.0||
|1. (15+) ve 22. (İlkokul) ve 6. (Kendi İşini Kurmak İstiyor)|2014|16.0|13.0|17.0|22.0|23.0|27.0|26.0|25.0|21.0|22.0|36.0|43.0|
||2015|49.0|40.0|36.0|34.0|31.0|25.0|19.0|18.0|24.0|31.0|37.0|38.0|
||2016|40.0|36.0|34.0|23.0|22.0|21.0|24.0|26.0|23.0|30.0|29.0|32.0|
||2017|26.0|22.0|24.0|25.0|34.0|29.0|28.0|21.0|20.0|24.0|27.0|31.0|
||2018|28.0|22.0|19.0|15.0|17.0|15.0|21.0|26.0|24.0|23.0|19.0|21.0|
||2019|27.0|33.0|37.0|26.0|26.0|22.0|27.0|25.0|27.0|26.0|22.0|22.0|
||2020|18.0|27.0|25.0|29.0|25.0|29.0|26.0|25.0|24.0|27.0|30.0||
|1. (15+) ve 22. (İlkokul) ve 7. (İş Bulmuş, Başlamak İçin Bekliyor)|2014|12.0|10.0|8.0|6.0|6.0|7.0|12.0|15.0|16.0|14.0|9.0|7.0|
||2015|7.0|9.0|9.0|9.0|10.0|12.0|11.0|9.0|11.0|7.0|8.0|6.0|
||2016|7.0|5.0|4.0|7.0|7.0|9.0|6.0|10.0|8.0|10.0|9.0|12.0|
||2017|14.0|12.0|11.0|6.0|5.0|2.0|5.0|8.0|11.0|11.0|8.0|9.0|
||2018|12.0|14.0|11.0|8.0|6.0|9.0|12.0|12.0|10.0|6.0|5.0|5.0|
||2019|7.0|6.0|4.0|5.0|9.0|12.0|13.0|17.0|16.0|14.0|10.0|10.0|
||2020|12.0|6.0|6.0|3.0|11.0|11.0|14.0|11.0|12.0|9.0|7.0||
|1. (15+) ve 23. (İlköğretim) ve 1. (Tam Zamanlı)|2014|389.0|379.0|383.0|369.0|379.0|380.0|398.0|391.0|410.0|413.0|413.0|444.0|
||2015|447.0|445.0|403.0|387.0|394.0|401.0|409.0|393.0|395.0|408.0|415.0|413.0|
||2016|417.0|397.0|371.0|334.0|362.0|381.0|388.0|388.0|383.0|403.0|420.0|469.0|
||2017|491.0|481.0|405.0|341.0|303.0|315.0|314.0|325.0|314.0|334.0|330.0|337.0|
||2018|344.0|347.0|326.0|303.0|278.0|290.0|296.0|327.0|345.0|367.0|419.0|449.0|
||2019|504.0|485.0|473.0|418.0|419.0|403.0|433.0|393.0|391.0|387.0|427.0|443.0|
||2020|434.0|412.0|407.0|370.0|368.0|358.0|366.0|333.0|297.0|267.0|288.0||
|1. (15+) ve 23. (İlköğretim) ve 2. (Tam Zamanlı, Ancak Bulamazsa Yarı Zamanlı Olabilir)|2014|17.0|21.0|21.0|19.0|14.0|15.0|14.0|13.0|11.0|14.0|12.0|17.0|
||2015|19.0|22.0|17.0|12.0|8.0|15.0|12.0|9.0|0.0|2.0|11.0|18.0|
||2016|21.0|16.0|12.0|10.0|8.0|13.0|15.0|16.0|13.0|15.0|18.0|23.0|
||2017|29.0|25.0|20.0|9.0|10.0|8.0|10.0|12.0|14.0|16.0|12.0|13.0|
||2018|12.0|14.0|11.0|7.0|7.0|12.0|14.0|13.0|8.0|4.0|4.0|6.0|
||2019|8.0|10.0|9.0|9.0|12.0|15.0|16.0|14.0|17.0|17.0|19.0|16.0|
||2020|20.0|15.0|18.0|15.0|13.0|10.0|7.0|9.0|8.0|16.0|17.0||
|1. (15+) ve 23. (İlköğretim) ve 3. (Yarı Zamanlı)|2014|4.0|3.0|4.0|4.0|5.0|3.0|2.0|2.0|6.0|8.0|8.0|5.0|
||2015|7.0|8.0|6.0|6.0|7.0|5.0|4.0|2.0|2.0|1.0|2.0|2.0|
||2016|2.0|3.0|3.0|3.0|2.0|3.0|1.0|1.0|2.0|5.0|6.0|6.0|
||2017|5.0|5.0|3.0|1.0|2.0|4.0|4.0|2.0|1.0|1.0|1.0|4.0|
||2018|4.0|9.0|6.0|6.0|2.0|4.0|4.0|4.0|4.0|4.0|4.0|3.0|
||2019|2.0|2.0|3.0|3.0|2.0|-9.93E8|-9.93E8|2.0|2.0|2.0|2.0|2.0|
||2020|2.0|0.0|1.0|2.0|2.0|2.0|2.0|3.0|3.0|5.0|5.0||
|1. (15+) ve 23. (İlköğretim) ve 4. (Yarı Zamanlı, Ancak Bulamazsa Tam Zamanlı Olabilir)|2014|0.0|0.0|0.0|0.0|1.0|1.0|1.0|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|
||2015|1.0|1.0|1.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|1.0|-9.93E8|-9.93E8|
||2016|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|1.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2017|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2018|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2019|-9.93E8|-9.93E8|1.0|1.0|1.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2020|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|2.0|1.0|2.0|-9.93E8||
|1. (15+) ve 23. (İlköğretim) ve 5. (Tam Zamanlı Veya Yarı Zamanlı Farketmez)|2014|13.0|16.0|18.0|16.0|12.0|8.0|12.0|10.0|9.0|11.0|10.0|13.0|
||2015|9.0|8.0|6.0|5.0|8.0|9.0|10.0|7.0|3.0|1.0|3.0|3.0|
||2016|7.0|12.0|14.0|10.0|4.0|2.0|4.0|3.0|3.0|1.0|1.0|3.0|
||2017|3.0|4.0|4.0|4.0|2.0|0.0|-9.93E8|-9.93E8|0.0|3.0|3.0|4.0|
||2018|3.0|4.0|7.0|8.0|10.0|8.0|7.0|5.0|7.0|9.0|9.0|8.0|
||2019|7.0|6.0|6.0|6.0|6.0|6.0|3.0|6.0|6.0|7.0|4.0|5.0|
||2020|12.0|24.0|25.0|22.0|16.0|17.0|15.0|15.0|15.0|22.0|25.0||
|1. (15+) ve 23. (İlköğretim) ve 6. (Kendi İşini Kurmak İstiyor)|2014|9.0|10.0|9.0|6.0|6.0|6.0|9.0|12.0|12.0|10.0|12.0|14.0|
||2015|22.0|17.0|17.0|12.0|16.0|14.0|17.0|15.0|16.0|13.0|15.0|20.0|
||2016|22.0|16.0|14.0|10.0|10.0|11.0|14.0|15.0|12.0|13.0|13.0|17.0|
||2017|14.0|14.0|10.0|12.0|12.0|15.0|12.0|12.0|9.0|11.0|9.0|10.0|
||2018|7.0|8.0|7.0|7.0|6.0|4.0|3.0|3.0|7.0|9.0|11.0|14.0|
||2019|16.0|20.0|21.0|18.0|14.0|10.0|9.0|10.0|11.0|13.0|10.0|8.0|
||2020|6.0|6.0|9.0|13.0|15.0|12.0|14.0|17.0|20.0|20.0|18.0||
|1. (15+) ve 23. (İlköğretim) ve 7. (İş Bulmuş, Başlamak İçin Bekliyor)|2014|8.0|7.0|5.0|7.0|7.0|9.0|9.0|9.0|10.0|7.0|9.0|8.0|
||2015|9.0|8.0|6.0|2.0|3.0|3.0|4.0|4.0|8.0|9.0|9.0|6.0|
||2016|7.0|8.0|9.0|8.0|6.0|5.0|4.0|7.0|4.0|3.0|1.0|5.0|
||2017|7.0|8.0|8.0|9.0|9.0|5.0|6.0|6.0|8.0|6.0|6.0|4.0|
||2018|7.0|12.0|14.0|15.0|15.0|12.0|8.0|3.0|6.0|5.0|5.0|6.0|
||2019|7.0|7.0|3.0|3.0|2.0|2.0|5.0|6.0|7.0|2.0|6.0|6.0|
||2020|7.0|5.0|4.0|4.0|4.0|5.0|5.0|5.0|8.0|6.0|7.0||
|1. (15+) ve 24. (Ortaokul Veya Dengi Meslek Ortaokul) ve 1. (Tam Zamanlı)|2014|170.0|184.0|181.0|160.0|169.0|183.0|182.0|176.0|192.0|199.0|198.0|201.0|
||2015|219.0|213.0|218.0|208.0|214.0|231.0|248.0|252.0|245.0|225.0|233.0|242.0|
||2016|248.0|246.0|227.0|243.0|255.0|275.0|280.0|269.0|268.0|269.0|282.0|317.0|
||2017|344.0|338.0|312.0|278.0|292.0|296.0|333.0|310.0|313.0|282.0|281.0|288.0|
||2018|293.0|291.0|269.0|294.0|336.0|356.0|367.0|349.0|358.0|364.0|405.0|451.0|
||2019|480.0|478.0|461.0|472.0|515.0|525.0|573.0|525.0|513.0|465.0|463.0|485.0|
||2020|474.0|493.0|458.0|442.0|435.0|482.0|503.0|466.0|408.0|386.0|408.0||
|1. (15+) ve 24. (Ortaokul Veya Dengi Meslek Ortaokul) ve 2. (Tam Zamanlı, Ancak Bulamazsa Yarı Zamanlı Olabilir)|2014|9.0|10.0|8.0|10.0|8.0|7.0|2.0|4.0|7.0|6.0|6.0|6.0|
||2015|8.0|8.0|5.0|3.0|4.0|7.0|8.0|8.0|6.0|8.0|7.0|11.0|
||2016|9.0|9.0|6.0|9.0|13.0|18.0|17.0|14.0|9.0|16.0|20.0|25.0|
||2017|21.0|18.0|19.0|21.0|23.0|19.0|17.0|13.0|11.0|12.0|15.0|16.0|
||2018|18.0|17.0|16.0|10.0|16.0|19.0|20.0|14.0|13.0|10.0|11.0|12.0|
||2019|13.0|15.0|9.0|10.0|9.0|14.0|19.0|22.0|16.0|12.0|18.0|21.0|
