|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
İşsiz (Bin)|1. (15+) ve 1. (Okuma Yazma Bilmeyen) ve 1. (Tam Zamanlı)|2014|63.0|63.0|60.0|51.0|48.0|44.0|50.0|51.0|64.0|72.0|73.0|67.0|
||2015|60.0|53.0|50.0|39.0|41.0|44.0|48.0|53.0|58.0|57.0|55.0|60.0|
||2016|68.0|67.0|51.0|41.0|40.0|43.0|42.0|42.0|43.0|51.0|63.0|73.0|
||2017|72.0|70.0|53.0|54.0|43.0|52.0|44.0|50.0|48.0|51.0|58.0|61.0|
||2018|72.0|58.0|55.0|46.0|42.0|44.0|48.0|63.0|60.0|55.0|55.0|72.0|
||2019|108.0|123.0|116.0|95.0|75.0|72.0|69.0|73.0|71.0|69.0|62.0|79.0|
||2020|94.0|90.0|74.0|51.0|54.0|51.0|52.0|49.0|54.0|56.0|53.0||
|1. (15+) ve 1. (Okuma Yazma Bilmeyen) ve 2. (Tam Zamanlı, Ancak Bulamazsa Yarı Zamanlı Olabilir)|2014|3.0|6.0|12.0|15.0|13.0|7.0|3.0|3.0|3.0|6.0|6.0|3.0|
||2015|3.0|3.0|3.0|3.0|2.0|2.0|0.0|1.0|2.0|1.0|3.0|4.0|
||2016|6.0|6.0|4.0|2.0|1.0|1.0|0.0|2.0|3.0|4.0|3.0|5.0|
||2017|6.0|6.0|4.0|4.0|6.0|6.0|5.0|5.0|5.0|5.0|2.0|1.0|
||2018|0.0|2.0|4.0|4.0|2.0|1.0|2.0|2.0|1.0|2.0|2.0|3.0|
||2019|3.0|5.0|3.0|4.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|2.0|
||2020|3.0|2.0|2.0|3.0|2.0|3.0|3.0|5.0|3.0|3.0|3.0||
|1. (15+) ve 1. (Okuma Yazma Bilmeyen) ve 3. (Yarı Zamanlı)|2014|1.0|0.0|0.0|0.0|-9.93E8|1.0|1.0|2.0|1.0|1.0|-9.93E8|-9.93E8|
||2015|-9.93E8|-9.93E8|-9.93E8|0.0|1.0|1.0|1.0|0.0|2.0|1.0|1.0|0.0|
||2016|-9.93E8|2.0|2.0|2.0|1.0|1.0|-9.93E8|2.0|2.0|2.0|-9.93E8|-9.93E8|
||2017|-9.93E8|1.0|1.0|1.0|-9.93E8|-9.93E8|1.0|1.0|1.0|0.0|0.0|1.0|
||2018|1.0|1.0|-9.93E8|1.0|1.0|1.0|1.0|1.0|1.0|-9.93E8|-9.93E8|3.0|
||2019|3.0|3.0|1.0|1.0|1.0|1.0|0.0|1.0|1.0|1.0|1.0|1.0|
||2020|1.0|0.0|1.0|2.0|2.0|1.0|1.0|1.0|1.0|-9.93E8|-9.93E8||
|1. (15+) ve 1. (Okuma Yazma Bilmeyen) ve 4. (Yarı Zamanlı, Ancak Bulamazsa Tam Zamanlı Olabilir)|2014|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|2.0|1.0|1.0|-9.93E8|
||2015|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2016|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|1.0|-9.93E8|-9.93E8|-9.93E8|
||2017|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|1.0|-9.93E8|-9.93E8|-9.93E8|
||2018|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|
||2019|1.0|1.0|2.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|0.0|0.0|0.0|
||2020|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8||
|1. (15+) ve 1. (Okuma Yazma Bilmeyen) ve 5. (Tam Zamanlı Veya Yarı Zamanlı Farketmez)|2014|8.0|8.0|7.0|5.0|4.0|3.0|3.0|3.0|2.0|3.0|2.0|3.0|
||2015|3.0|2.0|4.0|2.0|3.0|1.0|3.0|4.0|4.0|3.0|3.0|3.0|
||2016|2.0|1.0|1.0|1.0|1.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|2.0|
||2017|2.0|5.0|4.0|3.0|-9.93E8|-9.93E8|1.0|1.0|1.0|0.0|0.0|0.0|
||2018|1.0|2.0|2.0|1.0|-9.93E8|1.0|1.0|4.0|4.0|4.0|3.0|2.0|
