|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
|1. (15+) ve 7. (55+) ve 22. (2 Yıl Ve Daha Fazla 3 Yıldan Az)|2014|8.0|13.0|14.0|16.0|13.0|12.0|9.0|8.0|11.0|12.0|17.0|13.0|
||2015|15.0|13.0|13.0|10.0|15.0|19.0|25.0|21.0|19.0|13.0|10.0|11.0|
||2016|13.0|15.0|10.0|8.0|6.0|6.0|6.0|8.0|9.0|12.0|12.0|13.0|
||2017|13.0|14.0|14.0|11.0|11.0|10.0|9.0|13.0|18.0|18.0|19.0|18.0|
||2018|22.0|18.0|17.0|13.0|12.0|9.0|8.0|13.0|14.0|20.0|19.0|23.0|
||2019|17.0|16.0|16.0|14.0|16.0|11.0|17.0|17.0|27.0|26.0|23.0|17.0|
||2020|15.0|13.0|8.0|8.0|10.0|15.0|18.0|19.0|19.0|22.0|24.0||
|1. (15+) ve 7. (55+) ve 23. (3 Yıl Ve Daha Fazla)|2014|8.0|9.0|12.0|11.0|10.0|12.0|10.0|10.0|4.0|5.0|6.0|8.0|
||2015|9.0|6.0|9.0|6.0|8.0|4.0|5.0|8.0|10.0|11.0|10.0|10.0|
||2016|10.0|11.0|11.0|8.0|7.0|5.0|7.0|9.0|10.0|17.0|15.0|17.0|
||2017|8.0|7.0|8.0|8.0|9.0|8.0|12.0|11.0|11.0|10.0|13.0|11.0|
||2018|9.0|9.0|8.0|9.0|10.0|12.0|12.0|11.0|11.0|10.0|13.0|15.0|
||2019|16.0|16.0|17.0|22.0|21.0|23.0|23.0|24.0|22.0|21.0|20.0|21.0|
||2020|19.0|15.0|10.0|5.0|6.0|10.0|9.0|10.0|10.0|12.0|16.0||
|2. (15-24) ve 3. (15-19) ve 11. (1-2 Ay)|2014|107.0|108.0|110.0|103.0|145.0|201.0|241.0|211.0|166.0|146.0|145.0|136.0|
||2015|124.0|116.0|118.0|113.0|157.0|215.0|242.0|213.0|175.0|168.0|162.0|157.0|
||2016|141.0|125.0|108.0|115.0|179.0|225.0|239.0|187.0|162.0|144.0|154.0|154.0|
||2017|134.0|133.0|100.0|115.0|175.0|250.0|295.0|234.0|175.0|126.0|124.0|121.0|
||2018|115.0|106.0|95.0|119.0|180.0|236.0|258.0|223.0|200.0|175.0|168.0|153.0|
||2019|152.0|139.0|134.0|118.0|190.0|273.0|334.0|275.0|198.0|146.0|140.0|146.0|
||2020|132.0|124.0|105.0|111.0|117.0|144.0|164.0|163.0|143.0|119.0|114.0||
|2. (15-24) ve 3. (15-19) ve 12. (3-5 Ay)|2014|61.0|60.0|60.0|55.0|63.0|68.0|67.0|59.0|68.0|75.0|81.0|75.0|
||2015|92.0|91.0|84.0|63.0|53.0|63.0|62.0|68.0|67.0|83.0|87.0|79.0|
||2016|77.0|71.0|66.0|55.0|53.0|59.0|56.0|65.0|61.0|77.0|85.0|105.0|
||2017|100.0|93.0|86.0|72.0|60.0|45.0|50.0|58.0|74.0|76.0|79.0|75.0|
||2018|74.0|68.0|63.0|52.0|40.0|39.0|48.0|67.0|77.0|91.0|95.0|109.0|
||2019|127.0|134.0|111.0|90.0|61.0|70.0|79.0|96.0|94.0|92.0|82.0|89.0|
||2020|91.0|85.0|72.0|58.0|62.0|82.0|87.0|96.0|82.0|89.0|77.0||
|2. (15-24) ve 3. (15-19) ve 13. (6-8 Ay)|2014|26.0|30.0|30.0|38.0|31.0|24.0|24.0|23.0|24.0|18.0|18.0|19.0|
||2015|17.0|22.0|22.0|30.0|23.0|25.0|21.0|22.0|23.0|19.0|16.0|19.0|
||2016|28.0|38.0|31.0|26.0|19.0|17.0|16.0|17.0|21.0|24.0|31.0|34.0|
||2017|42.0|39.0|45.0|36.0|28.0|15.0|14.0|17.0|16.0|13.0|14.0|23.0|
||2018|28.0|35.0|33.0|33.0|26.0|20.0|17.0|16.0|14.0|8.0|21.0|32.0|
||2019|53.0|48.0|51.0|41.0|38.0|30.0|26.0|24.0|19.0|21.0|30.0|34.0|
||2020|35.0|40.0|39.0|39.0|27.0|29.0|25.0|34.0|30.0|33.0|31.0||
|2. (15-24) ve 3. (15-19) ve 14. (9-11 Ay)|2014|5.0|10.0|9.0|12.0|10.0|10.0|5.0|5.0|4.0|8.0|10.0|11.0|
||2015|9.0|7.0|9.0|10.0|10.0|7.0|7.0|5.0|5.0|5.0|5.0|3.0|
||2016|2.0|3.0|4.0|7.0|9.0|11.0|9.0|8.0|6.0|5.0|3.0|2.0|
||2017|6.0|6.0|12.0|20.0|22.0|19.0|12.0|10.0|8.0|7.0|6.0|5.0|
||2018|8.0|10.0|13.0|10.0|11.0|12.0|13.0|10.0|10.0|5.0|8.0|5.0|
||2019|10.0|11.0|18.0|26.0|23.0|23.0|12.0|12.0|8.0|7.0|6.0|5.0|
||2020|7.0|8.0|11.0|17.0|16.0|15.0|11.0|14.0|13.0|13.0|15.0||
|2. (15-24) ve 3. (15-19) ve 21. (1 Yıl Ve Daha Fazla 2 Yıldan Az)|2014|18.0|15.0|25.0|31.0|32.0|24.0|18.0|25.0|27.0|28.0|18.0|23.0|
||2015|28.0|29.0|24.0|21.0|19.0|19.0|22.0|22.0|25.0|21.0|24.0|24.0|
||2016|21.0|19.0|15.0|19.0|20.0|27.0|26.0|24.0|21.0|24.0|27.0|39.0|
||2017|37.0|33.0|19.0|17.0|18.0|19.0|23.0|28.0|30.0|25.0|21.0|24.0|
||2018|27.0|24.0|20.0|25.0|29.0|37.0|33.0|35.0|34.0|38.0|38.0|34.0|
||2019|33.0|28.0|29.0|30.0|34.0|34.0|41.0|42.0|42.0|35.0|36.0|37.0|
||2020|35.0|34.0|29.0|25.0|26.0|34.0|40.0|38.0|39.0|37.0|43.0||
|2. (15-24) ve 3. (15-19) ve 22. (2 Yıl Ve Daha Fazla 3 Yıldan Az)|2014|6.0|6.0|4.0|4.0|3.0|5.0|9.0|7.0|7.0|3.0|3.0|2.0|
||2015|3.0|3.0|5.0|5.0|6.0|6.0|8.0|8.0|7.0|2.0|3.0|3.0|
||2016|3.0|1.0|1.0|3.0|3.0|3.0|5.0|5.0|8.0|5.0|6.0|3.0|
||2017|2.0|2.0|3.0|3.0|2.0|1.0|2.0|3.0|7.0|6.0|9.0|9.0|
||2018|10.0|5.0|2.0|1.0|3.0|5.0|7.0|6.0|7.0|6.0|5.0|5.0|
||2019|6.0|7.0|5.0|5.0|4.0|4.0|5.0|6.0|6.0|7.0|6.0|7.0|
||2020|4.0|5.0|5.0|3.0|3.0|2.0|4.0|5.0|6.0|4.0|6.0||
|2. (15-24) ve 3. (15-19) ve 23. (3 Yıl Ve Daha Fazla)|2014|2.0|2.0|1.0|0.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|0.0|1.0|2.0|2.0|
||2015|2.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|0.0|0.0|0.0|-9.93E8|
||2016|0.0|0.0|0.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|2.0|1.0|1.0|
||2017|1.0|1.0|2.0|1.0|1.0|-9.93E8|1.0|1.0|3.0|2.0|2.0|1.0|
||2018|1.0|2.0|2.0|3.0|1.0|1.0|0.0|1.0|2.0|2.0|1.0|2.0|
||2019|2.0|3.0|1.0|1.0|1.0|1.0|0.0|-9.93E8|0.0|2.0|4.0|4.0|
||2020|2.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|2.0||
|2. (15-24) ve 4. (20-24) ve 11. (1-2 Ay)|2014|243.0|239.0|228.0|210.0|212.0|253.0|314.0|328.0|302.0|261.0|250.0|270.0|
||2015|270.0|264.0|219.0|196.0|234.0|283.0|324.0|311.0|316.0|305.0|286.0|272.0|
||2016|273.0|259.0|229.0|217.0|258.0|338.0|370.0|384.0|347.0|329.0|317.0|305.0|
||2017|315.0|287.0|279.0|254.0|309.0|391.0|449.0|418.0|358.0|316.0|303.0|282.0|
||2018|268.0|258.0|239.0|226.0|272.0|368.0|424.0|446.0|406.0|374.0|362.0|347.0|
||2019|355.0|319.0|300.0|281.0|321.0|399.0|508.0|490.0|453.0|389.0|361.0|331.0|
||2020|291.0|291.0|290.0|259.0|271.0|292.0|326.0|331.0|306.0|300.0|291.0||
|2. (15-24) ve 4. (20-24) ve 12. (3-5 Ay)|2014|138.0|125.0|131.0|111.0|114.0|104.0|115.0|147.0|190.0|225.0|234.0|214.0|
||2015|188.0|167.0|161.0|140.0|122.0|111.0|124.0|172.0|185.0|197.0|173.0|184.0|
||2016|180.0|174.0|155.0|124.0|117.0|116.0|138.0|161.0|195.0|235.0|253.0|263.0|
||2017|248.0|226.0|190.0|163.0|134.0|121.0|129.0|168.0|216.0|222.0|209.0|185.0|
||2018|198.0|181.0|159.0|123.0|114.0|109.0|120.0|160.0|207.0|253.0|251.0|243.0|
||2019|258.0|279.0|281.0|232.0|182.0|164.0|176.0|227.0|246.0|275.0|264.0|262.0|
||2020|245.0|208.0|175.0|160.0|175.0|227.0|243.0|261.0|235.0|239.0|227.0||
|2. (15-24) ve 4. (20-24) ve 13. (6-8 Ay)|2014|73.0|75.0|68.0|53.0|42.0|45.0|43.0|40.0|39.0|42.0|54.0|74.0|
||2015|97.0|107.0|97.0|79.0|61.0|50.0|49.0|52.0|58.0|53.0|56.0|69.0|
||2016|82.0|94.0|90.0|90.0|82.0|75.0|67.0|63.0|55.0|59.0|73.0|114.0|
||2017|143.0|151.0|137.0|117.0|93.0|72.0|50.0|50.0|45.0|59.0|72.0|92.0|
||2018|104.0|107.0|102.0|95.0|75.0|64.0|57.0|60.0|63.0|73.0|102.0|135.0|
||2019|161.0|176.0|158.0|132.0|106.0|85.0|82.0|66.0|67.0|66.0|83.0|123.0|
||2020|131.0|127.0|124.0|141.0|138.0|120.0|108.0|114.0|112.0|109.0|121.0||
|2. (15-24) ve 4. (20-24) ve 14. (9-11 Ay)|2014|15.0|12.0|14.0|19.0|23.0|24.0|20.0|21.0|20.0|19.0|14.0|18.0|
||2015|21.0|30.0|34.0|43.0|38.0|34.0|22.0|22.0|16.0|14.0|11.0|12.0|
||2016|14.0|21.0|30.0|36.0|33.0|23.0|18.0|18.0|21.0|28.0|27.0|30.0|
||2017|23.0|28.0|40.0|55.0|56.0|40.0|24.0|17.0|21.0|23.0|24.0|23.0|
||2018|29.0|32.0|44.0|50.0|46.0|34.0|25.0|23.0|27.0|25.0|30.0|30.0|
||2019|30.0|34.0|41.0|59.0|69.0|65.0|46.0|44.0|43.0|40.0|29.0|20.0|
||2020|26.0|29.0|39.0|47.0|55.0|59.0|52.0|47.0|35.0|38.0|49.0||
|2. (15-24) ve 4. (20-24) ve 21. (1 Yıl Ve Daha Fazla 2 Yıldan Az)|2014|57.0|54.0|59.0|66.0|69.0|64.0|67.0|78.0|88.0|89.0|85.0|80.0|
||2015|70.0|67.0|68.0|75.0|82.0|76.0|79.0|73.0|81.0|82.0|84.0|76.0|
||2016|67.0|59.0|64.0|71.0|87.0|96.0|102.0|105.0|108.0|116.0|125.0|115.0|
||2017|117.0|103.0|100.0|90.0|94.0|112.0|121.0|123.0|100.0|88.0|82.0|87.0|
||2018|87.0|78.0|69.0|74.0|76.0|96.0|86.0|89.0|85.0|87.0|96.0|106.0|
||2019|113.0|111.0|112.0|110.0|109.0|122.0|155.0|181.0|174.0|150.0|134.0|117.0|
||2020|117.0|100.0|96.0|79.0|96.0|116.0|134.0|140.0|142.0|157.0|159.0||
|2. (15-24) ve 4. (20-24) ve 22. (2 Yıl Ve Daha Fazla 3 Yıldan Az)|2014|18.0|16.0|17.0|19.0|18.0|14.0|16.0|20.0|23.0|24.0|19.0|17.0|
||2015|14.0|15.0|15.0|17.0|19.0|21.0|22.0|22.0|22.0|16.0|20.0|15.0|
||2016|16.0|11.0|11.0|13.0|16.0|17.0|18.0|19.0|22.0|25.0|23.0|21.0|
||2017|22.0|21.0|22.0|24.0|26.0|25.0|17.0|14.0|15.0|18.0|23.0|20.0|
||2018|16.0|15.0|18.0|21.0|20.0|18.0|24.0|30.0|33.0|28.0|22.0|21.0|
||2019|25.0|23.0|34.0|37.0|39.0|35.0|33.0|41.0|38.0|43.0|43.0|43.0|
||2020|48.0|49.0|47.0|35.0|35.0|35.0|36.0|37.0|38.0|38.0|38.0||
|2. (15-24) ve 4. (20-24) ve 23. (3 Yıl Ve Daha Fazla)|2014|7.0|8.0|5.0|3.0|4.0|3.0|4.0|3.0|3.0|5.0|3.0|4.0|
||2015|2.0|3.0|4.0|6.0|5.0|3.0|2.0|3.0|4.0|3.0|3.0|2.0|
||2016|2.0|3.0|3.0|3.0|2.0|4.0|6.0|9.0|9.0|7.0|4.0|2.0|
||2017|3.0|4.0|7.0|6.0|4.0|3.0|3.0|3.0|6.0|6.0|9.0|7.0|
||2018|6.0|4.0|6.0|7.0|9.0|10.0|9.0|6.0|3.0|3.0|3.0|6.0|
||2019|8.0|9.0|6.0|8.0|8.0|9.0|10.0|14.0|13.0|17.0|14.0|15.0|
||2020|9.0|9.0|8.0|8.0|10.0|9.0|11.0|8.0|13.0|14.0|13.0||
|3. (15-64) ve 3. (15-19) ve 11. (1-2 Ay)|2014|107.0|108.0|110.0|103.0|145.0|201.0|241.0|211.0|166.0|146.0|145.0|136.0|
||2015|124.0|116.0|118.0|113.0|157.0|215.0|242.0|213.0|175.0|168.0|162.0|157.0|
||2016|141.0|125.0|108.0|115.0|179.0|225.0|239.0|187.0|162.0|144.0|154.0|154.0|
||2017|134.0|133.0|100.0|115.0|175.0|250.0|295.0|234.0|175.0|126.0|124.0|121.0|
||2018|115.0|106.0|95.0|119.0|180.0|236.0|258.0|223.0|200.0|175.0|168.0|153.0|
||2019|152.0|139.0|134.0|118.0|190.0|273.0|334.0|275.0|198.0|146.0|140.0|146.0|
||2020|132.0|124.0|105.0|111.0|117.0|144.0|164.0|163.0|143.0|119.0|114.0||
|3. (15-64) ve 3. (15-19) ve 12. (3-5 Ay)|2014|61.0|60.0|60.0|55.0|63.0|68.0|67.0|59.0|68.0|75.0|81.0|75.0|
||2015|92.0|91.0|84.0|63.0|53.0|63.0|62.0|68.0|67.0|83.0|87.0|79.0|
||2016|77.0|71.0|66.0|55.0|53.0|59.0|56.0|65.0|61.0|77.0|85.0|105.0|
||2017|100.0|93.0|86.0|72.0|60.0|45.0|50.0|58.0|74.0|76.0|79.0|75.0|
||2018|74.0|68.0|63.0|52.0|40.0|39.0|48.0|67.0|77.0|91.0|95.0|109.0|
||2019|127.0|134.0|111.0|90.0|61.0|70.0|79.0|96.0|94.0|92.0|82.0|89.0|
||2020|91.0|85.0|72.0|58.0|62.0|82.0|87.0|96.0|82.0|89.0|77.0||
|3. (15-64) ve 3. (15-19) ve 13. (6-8 Ay)|2014|26.0|30.0|30.0|38.0|31.0|24.0|24.0|23.0|24.0|18.0|18.0|19.0|
||2015|17.0|22.0|22.0|30.0|23.0|25.0|21.0|22.0|23.0|19.0|16.0|19.0|
||2016|28.0|38.0|31.0|26.0|19.0|17.0|16.0|17.0|21.0|24.0|31.0|34.0|
||2017|42.0|39.0|45.0|36.0|28.0|15.0|14.0|17.0|16.0|13.0|14.0|23.0|
||2018|28.0|35.0|33.0|33.0|26.0|20.0|17.0|16.0|14.0|8.0|21.0|32.0|
||2019|53.0|48.0|51.0|41.0|38.0|30.0|26.0|24.0|19.0|21.0|30.0|34.0|
||2020|35.0|40.0|39.0|39.0|27.0|29.0|25.0|34.0|30.0|33.0|31.0||
|3. (15-64) ve 3. (15-19) ve 14. (9-11 Ay)|2014|5.0|10.0|9.0|12.0|10.0|10.0|5.0|5.0|4.0|8.0|10.0|11.0|
||2015|9.0|7.0|9.0|10.0|10.0|7.0|7.0|5.0|5.0|5.0|5.0|3.0|
||2016|2.0|3.0|4.0|7.0|9.0|11.0|9.0|8.0|6.0|5.0|3.0|2.0|
||2017|6.0|6.0|12.0|20.0|22.0|19.0|12.0|10.0|8.0|7.0|6.0|5.0|
||2018|8.0|10.0|13.0|10.0|11.0|12.0|13.0|10.0|10.0|5.0|8.0|5.0|
||2019|10.0|11.0|18.0|26.0|23.0|23.0|12.0|12.0|8.0|7.0|6.0|5.0|
||2020|7.0|8.0|11.0|17.0|16.0|15.0|11.0|14.0|13.0|13.0|15.0||
|3. (15-64) ve 3. (15-19) ve 21. (1 Yıl Ve Daha Fazla 2 Yıldan Az)|2014|18.0|15.0|25.0|31.0|32.0|24.0|18.0|25.0|27.0|28.0|18.0|23.0|
||2015|28.0|29.0|24.0|21.0|19.0|19.0|22.0|22.0|25.0|21.0|24.0|24.0|
||2016|21.0|19.0|15.0|19.0|20.0|27.0|26.0|24.0|21.0|24.0|27.0|39.0|
||2017|37.0|33.0|19.0|17.0|18.0|19.0|23.0|28.0|30.0|25.0|21.0|24.0|
||2018|27.0|24.0|20.0|25.0|29.0|37.0|33.0|35.0|34.0|38.0|38.0|34.0|
||2019|33.0|28.0|29.0|30.0|34.0|34.0|41.0|42.0|42.0|35.0|36.0|37.0|
||2020|35.0|34.0|29.0|25.0|26.0|34.0|40.0|38.0|39.0|37.0|43.0||
|3. (15-64) ve 3. (15-19) ve 22. (2 Yıl Ve Daha Fazla 3 Yıldan Az)|2014|6.0|6.0|4.0|4.0|3.0|5.0|9.0|7.0|7.0|3.0|3.0|2.0|
||2015|3.0|3.0|5.0|5.0|6.0|6.0|8.0|8.0|7.0|2.0|3.0|3.0|
||2016|3.0|1.0|1.0|3.0|3.0|3.0|5.0|5.0|8.0|5.0|6.0|3.0|
||2017|2.0|2.0|3.0|3.0|2.0|1.0|2.0|3.0|7.0|6.0|9.0|9.0|
||2018|10.0|5.0|2.0|1.0|3.0|5.0|7.0|6.0|7.0|6.0|5.0|5.0|
||2019|6.0|7.0|5.0|5.0|4.0|4.0|5.0|6.0|6.0|7.0|6.0|7.0|
||2020|4.0|5.0|5.0|3.0|3.0|2.0|4.0|5.0|6.0|4.0|6.0||
|3. (15-64) ve 3. (15-19) ve 23. (3 Yıl Ve Daha Fazla)|2014|2.0|2.0|1.0|0.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|0.0|1.0|2.0|2.0|
||2015|2.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|-9.93E8|0.0|0.0|0.0|-9.93E8|
||2016|0.0|0.0|0.0|-9.93E8|-9.93E8|-9.93E8|-9.93E8|1.0|1.0|2.0|1.0|1.0|
||2017|1.0|1.0|2.0|1.0|1.0|-9.93E8|1.0|1.0|3.0|2.0|2.0|1.0|
||2018|1.0|2.0|2.0|3.0|1.0|1.0|0.0|1.0|2.0|2.0|1.0|2.0|
||2019|2.0|3.0|1.0|1.0|1.0|1.0|0.0|-9.93E8|0.0|2.0|4.0|4.0|
||2020|2.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|2.0||
|3. (15-64) ve 4. (20-24) ve 11. (1-2 Ay)|2014|243.0|239.0|228.0|210.0|212.0|253.0|314.0|328.0|302.0|261.0|250.0|270.0|
||2015|270.0|264.0|219.0|196.0|234.0|283.0|324.0|311.0|316.0|305.0|286.0|272.0|
||2016|273.0|259.0|229.0|217.0|258.0|338.0|370.0|384.0|347.0|329.0|317.0|305.0|
||2017|315.0|287.0|279.0|254.0|309.0|391.0|449.0|418.0|358.0|316.0|303.0|282.0|
||2018|268.0|258.0|239.0|226.0|272.0|368.0|424.0|446.0|406.0|374.0|362.0|347.0|
||2019|355.0|319.0|300.0|281.0|321.0|399.0|508.0|490.0|453.0|389.0|361.0|331.0|
||2020|291.0|291.0|290.0|259.0|271.0|292.0|326.0|331.0|306.0|300.0|291.0||
|3. (15-64) ve 4. (20-24) ve 12. (3-5 Ay)|2014|138.0|125.0|131.0|111.0|114.0|104.0|115.0|147.0|190.0|225.0|234.0|214.0|
||2015|188.0|167.0|161.0|140.0|122.0|111.0|124.0|172.0|185.0|197.0|173.0|184.0|
||2016|180.0|174.0|155.0|124.0|117.0|116.0|138.0|161.0|195.0|235.0|253.0|263.0|
||2017|248.0|226.0|190.0|163.0|134.0|121.0|129.0|168.0|216.0|222.0|209.0|185.0|
||2018|198.0|181.0|159.0|123.0|114.0|109.0|120.0|160.0|207.0|253.0|251.0|243.0|
||2019|258.0|279.0|281.0|232.0|182.0|164.0|176.0|227.0|246.0|275.0|264.0|262.0|
||2020|245.0|208.0|175.0|160.0|175.0|227.0|243.0|261.0|235.0|239.0|227.0||
|3. (15-64) ve 4. (20-24) ve 13. (6-8 Ay)|2014|73.0|75.0|68.0|53.0|42.0|45.0|43.0|40.0|39.0|42.0|54.0|74.0|
||2015|97.0|107.0|97.0|79.0|61.0|50.0|49.0|52.0|58.0|53.0|56.0|69.0|
||2016|82.0|94.0|90.0|90.0|82.0|75.0|67.0|63.0|55.0|59.0|73.0|114.0|
||2017|143.0|151.0|137.0|117.0|93.0|72.0|50.0|50.0|45.0|59.0|72.0|92.0|
||2018|104.0|107.0|102.0|95.0|75.0|64.0|57.0|60.0|63.0|73.0|102.0|135.0|
||2019|161.0|176.0|158.0|132.0|106.0|85.0|82.0|66.0|67.0|66.0|83.0|123.0|
||2020|131.0|127.0|124.0|141.0|138.0|120.0|108.0|114.0|112.0|109.0|121.0||
|3. (15-64) ve 4. (20-24) ve 14. (9-11 Ay)|2014|15.0|12.0|14.0|19.0|23.0|24.0|20.0|21.0|20.0|19.0|14.0|18.0|
||2015|21.0|30.0|34.0|43.0|38.0|34.0|22.0|22.0|16.0|14.0|11.0|12.0|
||2016|14.0|21.0|30.0|36.0|33.0|23.0|18.0|18.0|21.0|28.0|27.0|30.0|
||2017|23.0|28.0|40.0|55.0|56.0|40.0|24.0|17.0|21.0|23.0|24.0|23.0|
||2018|29.0|32.0|44.0|50.0|46.0|34.0|25.0|23.0|27.0|25.0|30.0|30.0|
||2019|30.0|34.0|41.0|59.0|69.0|65.0|46.0|44.0|43.0|40.0|29.0|20.0|
||2020|26.0|29.0|39.0|47.0|55.0|59.0|52.0|47.0|35.0|38.0|49.0||
|3. (15-64) ve 4. (20-24) ve 21. (1 Yıl Ve Daha Fazla 2 Yıldan Az)|2014|57.0|54.0|59.0|66.0|69.0|64.0|67.0|78.0|88.0|89.0|85.0|80.0|
||2015|70.0|67.0|68.0|75.0|82.0|76.0|79.0|73.0|81.0|82.0|84.0|76.0|
||2016|67.0|59.0|64.0|71.0|87.0|96.0|102.0|105.0|108.0|116.0|125.0|115.0|
||2017|117.0|103.0|100.0|90.0|94.0|112.0|121.0|123.0|100.0|88.0|82.0|87.0|
||2018|87.0|78.0|69.0|74.0|76.0|96.0|86.0|89.0|85.0|87.0|96.0|106.0|
||2019|113.0|111.0|112.0|110.0|109.0|122.0|155.0|181.0|174.0|150.0|134.0|117.0|
||2020|117.0|100.0|96.0|79.0|96.0|116.0|134.0|140.0|142.0|157.0|159.0||
|3. (15-64) ve 4. (20-24) ve 22. (2 Yıl Ve Daha Fazla 3 Yıldan Az)|2014|18.0|16.0|17.0|19.0|18.0|14.0|16.0|20.0|23.0|24.0|19.0|17.0|
||2015|14.0|15.0|15.0|17.0|19.0|21.0|22.0|22.0|22.0|16.0|20.0|15.0|
||2016|16.0|11.0|11.0|13.0|16.0|17.0|18.0|19.0|22.0|25.0|23.0|21.0|
||2017|22.0|21.0|22.0|24.0|26.0|25.0|17.0|14.0|15.0|18.0|23.0|20.0|
||2018|16.0|15.0|18.0|21.0|20.0|18.0|24.0|30.0|33.0|28.0|22.0|21.0|
||2019|25.0|23.0|34.0|37.0|39.0|35.0|33.0|41.0|38.0|43.0|43.0|43.0|
||2020|48.0|49.0|47.0|35.0|35.0|35.0|36.0|37.0|38.0|38.0|38.0||
|3. (15-64) ve 4. (20-24) ve 23. (3 Yıl Ve Daha Fazla)|2014|7.0|8.0|5.0|3.0|4.0|3.0|4.0|3.0|3.0|5.0|3.0|4.0|
||2015|2.0|3.0|4.0|6.0|5.0|3.0|2.0|3.0|4.0|3.0|3.0|2.0|
||2016|2.0|3.0|3.0|3.0|2.0|4.0|6.0|9.0|9.0|7.0|4.0|2.0|
||2017|3.0|4.0|7.0|6.0|4.0|3.0|3.0|3.0|6.0|6.0|9.0|7.0|
||2018|6.0|4.0|6.0|7.0|9.0|10.0|9.0|6.0|3.0|3.0|3.0|6.0|
||2019|8.0|9.0|6.0|8.0|8.0|9.0|10.0|14.0|13.0|17.0|14.0|15.0|
||2020|9.0|9.0|8.0|8.0|10.0|9.0|11.0|8.0|13.0|14.0|13.0||
|3. (15-64) ve 5. (25-34) ve 11. (1-2 Ay)|2014|336.0|327.0|310.0|326.0|322.0|347.0|394.0|418.0|426.0|392.0|398.0|402.0|
||2015|395.0|362.0|332.0|298.0|324.0|364.0|396.0|388.0|371.0|365.0|377.0|398.0|
||2016|419.0|374.0|346.0|310.0|334.0|378.0|425.0|467.0|443.0|419.0|413.0|438.0|
||2017|443.0|409.0|345.0|300.0|315.0|344.0|399.0|405.0|393.0|369.0|363.0|380.0|
||2018|381.0|358.0|319.0|303.0|332.0|360.0|455.0|468.0|487.0|450.0|485.0|516.0|
||2019|516.0|460.0|407.0|362.0|392.0|433.0|496.0|510.0|496.0|458.0|418.0|422.0|
||2020|407.0|412.0|417.0|411.0|364.0|333.0|336.0|362.0|376.0|370.0|371.0||
|3. (15-64) ve 5. (25-34) ve 12. (3-5 Ay)|2014|235.0|247.0|224.0|176.0|161.0|159.0|179.0|202.0|240.0|238.0|265.0|268.0|
||2015|291.0|267.0|236.0|188.0|172.0|168.0|175.0|216.0|233.0|245.0|217.0|239.0|
||2016|268.0|279.0|256.0|216.0|200.0|210.0|222.0|260.0|288.0|301.0|307.0|305.0|
||2017|330.0|311.0|284.0|224.0|193.0|187.0|214.0|235.0|261.0|263.0|256.0|241.0|
||2018|242.0|252.0|231.0|226.0|191.0|200.0|181.0|211.0|241.0|277.0|283.0|319.0|
||2019|352.0|398.0|379.0|345.0|304.0|274.0|255.0|255.0|267.0|303.0|305.0|327.0|
||2020|334.0|318.0|300.0|274.0|300.0|330.0|336.0|295.0|241.0|246.0|255.0||
|3. (15-64) ve 5. (25-34) ve 13. (6-8 Ay)|2014|120.0|117.0|117.0|121.0|119.0|103.0|96.0|92.0|92.0|74.0|81.0|108.0|
||2015|137.0|154.0|132.0|117.0|86.0|81.0|75.0|77.0|83.0|76.0|94.0|103.0|
||2016|123.0|122.0|123.0|120.0|111.0|104.0|116.0|116.0|116.0|98.0|103.0|122.0|
||2017|146.0|162.0|167.0|156.0|137.0|109.0|101.0|95.0|95.0|97.0|111.0|125.0|
||2018|134.0|133.0|141.0|131.0|112.0|109.0|96.0|97.0|77.0|88.0|113.0|140.0|
||2019|178.0|186.0|196.0|186.0|192.0|173.0|143.0|129.0|131.0|137.0|147.0|161.0|
||2020|171.0|174.0|165.0|164.0|143.0|160.0|165.0|180.0|183.0|186.0|183.0||
|3. (15-64) ve 5. (25-34) ve 14. (9-11 Ay)|2014|21.0|25.0|30.0|35.0|31.0|38.0|29.0|32.0|23.0|38.0|34.0|33.0|
||2015|21.0|26.0|34.0|46.0|53.0|52.0|44.0|33.0|27.0|31.0|33.0|40.0|
||2016|31.0|38.0|43.0|59.0|58.0|54.0|46.0|39.0|39.0|43.0|44.0|38.0|
||2017|31.0|40.0|48.0|62.0|56.0|49.0|36.0|31.0|34.0|34.0|36.0|32.0|
||2018|39.0|44.0|49.0|51.0|52.0|59.0|52.0|48.0|44.0|38.0|32.0|42.0|
||2019|53.0|72.0|71.0|74.0|65.0|62.0|68.0|75.0|78.0|76.0|66.0|56.0|
